inst#,actual,predicted,error,commodity_name
419,44.5,46.514,2.014,'Ata (loose) - White'
420,156,157.886,1.886,'Palm Oil'
421,165,164.377,-0.623,'Broiler chicken'
422,177.5,166.015,-11.485,'Broiler chicken'
423,720,721.8,1.8,Beef
424,57.667,57.177,-0.489,'Ata (Packet)'
425,44.5,46.741,2.241,'Ata (loose) - White'
426,90,89.571,-0.429,'Garlic (local) - Big Size'
427,185,187.022,2.022,'Pangash (big)'
428,148.75,149.227,0.477,'Lentils - Desi-Whole'
429,174.8,175.154,0.354,'Soybean Oil(loose)'
430,173.5,173.428,-0.072,'Soybean Oil(loose)'
431,735,736.214,1.214,Beef
432,162.833,162.341,-0.493,'Palm Oil'
433,70.833,71.686,0.853,'Onion (local)'
434,210,190.622,-19.378,'Ginger (Imported)'
435,80.833,80.808,-0.025,'Rice - Fine'
436,175,198.116,23.116,'Green Chili (Local)'
437,175,150.966,-24.034,'Green Chili (Local)'
438,150,153.746,3.746,'Garlic (Imported)'
439,110,106.666,-3.334,'Garlic (local) - Big Size'
440,43.5,46.887,3.387,'Egg Farm-Red'
441,53.167,51.178,-1.989,'Ata (Packet)'
442,44.5,43.572,-0.928,'Egg Farm-Red'
443,49,48.476,-0.524,'Ata (loose) - White'
444,167.5,171.532,4.032,'Ginger (Imported)'
445,44.5,45.654,1.154,'Ata (loose) - White'
446,145,146.752,1.752,'Lentils - Desi-Whole'
447,135,140.207,5.207,'Garlic (Imported)'
448,184.5,162.216,-22.284,'Green Chili (Local)'
449,119.125,149.13,30.005,'Lentils - Desi-Whole'
450,60,58.977,-1.023,'Ata (Packet)'
451,173.667,162.439,-11.228,'Broiler chicken'
452,105,101.711,-3.289,'Garlic (local) - Big Size'
453,168.5,161.364,-7.136,'Green Chili (Local)'
454,30,20.503,-9.497,'Potato (Holland) - Red'
455,131.4,140.358,8.958,'Garlic (Imported)'
456,83.5,82.954,-0.546,'Rice - Fine'
457,167.5,171.566,4.066,'Ginger (Imported)'
458,115,133.823,18.823,'Ginger (Imported)'
459,44.25,45.87,1.62,'Egg Farm-Red'
460,62.75,66.396,3.646,'Rice - Medium'
461,44.125,46.727,2.602,'Egg Farm-Red'
462,156.313,157.744,1.432,'Palm Oil'
463,173.045,175.222,2.176,'Broiler chicken'
464,156.125,158.342,2.217,'Palm Oil'
465,181,177.461,-3.539,'Pangash (big)'
466,201.667,190.796,-10.871,'Ginger (Imported)'
467,52.083,47.757,-4.327,'Ata (loose) - White'
468,182.5,186.954,4.454,'Soybean Oil(loose)'
469,720,721.808,1.808,Beef
470,44.5,46.511,2.011,'Egg Farm-Red'
471,169,171.789,2.789,'Soybean Oil(loose)'
472,178.667,177.541,-1.126,'Soybean Oil(loose)'
473,44.5,47.671,3.171,'Egg Farm-Red'
474,201.667,190.637,-11.029,'Ginger (Imported)'
475,68.5,70.207,1.707,'Rice - Medium'
476,155,156.039,1.039,'Lentils - Desi-Whole'
477,710,712.064,2.064,Beef
