inst#,actual,predicted,error,commodity_name
450,49,47.689,-1.311,'Ata (Packet)'
451,55,56.835,1.835,'Ata (Packet)'
452,43,44.623,1.623,'Ata (loose) - White'
453,46.667,42.932,-3.734,'Ata (loose) - White'
454,44.5,40.574,-3.926,'Ata (loose) - White'
455,47,44.762,-2.238,'Ata (loose) - White'
456,43.5,41.787,-1.713,'Ata (loose) - White'
457,46,42.932,-3.068,'Ata (loose) - White'
458,770,768.567,-1.433,Beef
459,728.333,734.865,6.532,Beef
460,745,743.988,-1.012,Beef
461,720,724.592,4.592,Beef
462,710,708.664,-1.336,Beef
463,735,750.115,15.115,Beef
464,168.75,159.683,-9.067,'Broiler chicken'
465,175,165.471,-9.529,'Broiler chicken'
466,167.5,159.543,-7.957,'Broiler chicken'
467,172.5,166.187,-6.313,'Broiler chicken'
468,177.5,172.521,-4.979,'Broiler chicken'
469,165,159.113,-5.887,'Broiler chicken'
470,48,44.762,-3.238,'Egg Farm-Red'
471,48.5,45.623,-2.877,'Egg Farm-Red'
472,44.5,44.762,0.262,'Egg Farm-Red'
473,45,44.762,-0.238,'Egg Farm-Red'
474,45.5,45.623,0.123,'Egg Farm-Red'
475,49,45.623,-3.377,'Egg Farm-Red'
476,153.75,151.043,-2.707,'Garlic (Imported)'
477,155,179.656,24.656,'Garlic (Imported)'
478,125,146.743,21.743,'Garlic (Imported)'
479,150,156.087,6.087,'Garlic (Imported)'
480,205,187.784,-17.216,'Garlic (Imported)'
481,135,137.575,2.575,'Garlic (Imported)'
482,102.5,104.501,2.001,'Garlic (local) - Big Size'
483,115.833,106.406,-9.427,'Garlic (local) - Big Size'
484,95,99.297,4.297,'Garlic (local) - Big Size'
485,105,100.556,-4.444,'Garlic (local) - Big Size'
486,110,102.001,-7.999,'Garlic (local) - Big Size'
487,105,101.803,-3.197,'Garlic (local) - Big Size'
488,205,157.224,-47.776,'Ginger (Imported)'
489,163.333,177.64,14.306,'Ginger (Imported)'
490,125,148.537,23.537,'Ginger (Imported)'
491,165,145.382,-19.618,'Ginger (Imported)'
492,165,113.38,-51.62,'Ginger (Imported)'
493,170,161.593,-8.407,'Ginger (Imported)'
494,197.5,164.539,-32.961,'Green Chili (Local)'
495,195,181.76,-13.24,'Green Chili (Local)'
496,130,175.687,45.687,'Green Chili (Local)'
497,130,167.011,37.011,'Green Chili (Local)'
498,170,179.1,9.1,'Green Chili (Local)'
499,175,164.989,-10.011,'Green Chili (Local)'
500,147.5,146.644,-0.856,'Lentils - Desi-Whole'
501,145,138.872,-6.128,'Lentils - Desi-Whole'
502,135,138.872,3.872,'Lentils - Desi-Whole'
503,97.5,94.575,-2.925,Milk
504,72.5,62.173,-10.327,'Onion (local)'
505,72.5,67.413,-5.087,'Onion (local)'
